LinkItemsToUMLSCUIID	ItemPTR	CUI	ItemToUMLSCUILinkTypePTR
326	1897	C0006666	0
327	1901	C0065767	0
328	1903	C0006668	0
4340	1903	C0073994	0
10251	1903	C0770558	0
11922	1903	C1704385	0
16973	1903	C2825090	0
17320	1903	C3536753	0
17359	1903	C1454696	0
330	1906	C0108142	0
331	1906	C0357152	0
11567	1906	C0108139	0
4730	1914	C0006819	0
333	1924	C0282207	0
334	1929	C0006837	0
335	1929	C0006840	0
336	1950	C0006864	0
338	1950	C0024808	0
6260	1950	C0700268	0
10252	1950	C0936079	0
11695	1950	C0678449	0
12295	1950	C0700258	0
15826	1950	C2347556	0
41126	1950	C4552088	0
339	1955	C0031140	0
340	1961	C0006915	0
11644	1961	C0994344	0
341	1964	C0006931	0
11419	1964	C0006932	0
11701	1964	C1095803	0
342	1967	C0006938	0
343	1981	C0006945	0
344	1984	C0006949	0
11208	1984	C0887638	0
12115	1994	C0751753	0
20442	1994	C4082171	0
348	1996	C0006979	0
11420	1996	C0006980	0
349	2003	C0006983	0
350	2012	C0282577	0
6661	2012	C0751398	0
12116	2012	C0349653	0
351	2020	C0007018	0
352	2020	C0007020	0
11152	2020	C0238889	0
11667	2020	C1370867	0
354	2040	C0007095	0
355	2040	C0024586	0
4768	2064	C0030472	0
357	2095	C0018790	0
34791	2095	C4553105	0
358	2099	C0023212	0
359	2114	C0235527	0
14690	2114	C2939447	0
360	2128	C0007177	0
361	2128	C0031039	0
8897	2128	C1253937	0
34656	2128	C4554646	0
10173	2137	C0878544	0
363	2145	C0338585	0
364	2150	C0221046	0
365	2152	C0238045	0
366	2156	C0007286	0
367	2161	C0751587	0
368	2165	C0017531	0
369	2173	C0007361	0
7098	2173	C0085434	0
370	2173	C0242631	0
9642	2179	C0086543	0
10821	2179	C1510497	0
372	2182	C0007412	0
373	2184	C0238454	0
5514	2184	C0271347	0
374	2196	C0549371	0
375	2197	C0338474	0
376	2198	C0206083	0
14925	2198	C2721559	0
377	2203	C0085988	0
14645	2208	C2266959	0
15626	2208	C3536856	0
379	2216	C0149854	0
380	2218	C0007758	0
5430	2218	C0007760	0
7338	2218	C0234162	0
381	2224	C0007772	0
17436	2224	C0917804	0
9657	2227	C0006114	0
383	2232	C0007789	0
384	2242	C0338573	0
385	2247	C0038454	0
34619	2247	C4554100	0
387	2274	C0021092	0
11820	2274	C0271420	0
388	2278	C0007847	0
10544	2278	C0302592	0
15606	2278	C3539064	0
17595	2278	C4048328	0
389	2288	C0007869	0
390	2288	C0269189	0
391	2292	C0007871	0
392	2300	C0007851	0
6935	2303	C0149642	0
393	2303	C0235592	0
41095	2303	C4551446	0
394	2307	C0007872	0
395	2309	C0149645	0
14900	2309	C0742192	0
396	2314	C0007855	0
10579	2314	C0347493	0
5431	2317	C0007856	0
397	2317	C0158779	0
398	2320	C0079104	0
399	2322	C0262414	0
14881	2322	C0432666	0
9659	2327	C1384641	0
401	2335	C0269199	0
402	2338	C0006669	0
5404	2339	C0001275	0
403	2339	C0007955	0
404	2343	C0270914	0
405	2344	C0003892	0
11498	2344	C0149739	0
406	2349	C0339731	0
407	2351	C0007965	0
408	2364	C0240599	0
20443	2364	C0278234	0
6205	2365	C0004842	0
409	2365	C0008060	0
410	2365	C0700147	0
411	2375	C0008150	0
10931	2375	C0029291	0
14718	2375	C0276108	0
412	2384	C0008151	0
413	2402	C0025218	0
414	2405	C0008161	0
415	2407	C0008163	0
416	2410	C0008168	0
11979	2410	C0055337	0
13407	2410	C0109354	0
418	2423	C0008209	0
419	2423	C0161717	0
420	2428	C0008221	0
13429	2428	C0055373	0
421	2433	C0008269	0
11211	2433	C1383389	0
11464	2433	C0700447	0
11465	2433	C0055447	0
422	2449	C0008281	0
11173	2449	C0546857	0
11970	2449	C0724552	0
423	2462	C0008286	0
5608	2462	C0355077	0
424	2486	C0008287	0
425	2496	C0008294	0
426	2505	C0206698	0
10249	2505	C0740277	0
34830	2505	C0280725	0
427	2514	C0008311	0
428	2520	C0008325	0
34751	2520	C4553186	0
429	2525	C0008328	0
22490	2525	C4520829	0
430	2527	C0008340	0
11132	2527	C1257797	0
